dataset,n_assets,k,method,type,lambda,objective_family,reported_weighting,seed_count,best_objective,mean_objective,std_objective,mean_return,mean_risk,feasible_rate,mean_runtime_seconds,best_selection_or_weights,notes,selected_assets
Larger real data n=12,12,5,Classical exhaustive search,classical,4,binary_qubo,equal_weight_selected,1,-0.043286,-0.043286,0.000000,0.341060,0.128919,1.000000,0.007354,101000101100,Exact binary cardinality baseline,"AAPL, NVDA, JPM, JNJ, PG"
Larger real data n=12,12,5,Classical top-return heuristic,classical heuristic,4,binary_qubo,equal_weight_selected,1,2.388722,2.388722,0.000000,0.505711,0.221749,1.000000,0.000044,001111100000,Selects the K largest expected returns,"NVDA, AMZN, GOOGL, META, JPM"
Larger real data n=12,12,5,Classical minimum-variance subset,classical heuristic,4,binary_qubo,equal_weight_selected,1,0.298743,0.298743,0.000000,0.115801,0.093688,1.000000,0.003954,110000011100,Selects the feasible subset with the lowest quadratic variance,"AAPL, MSFT, XOM, JNJ, PG"
Larger real data n=12,12,,Classical equal weight,classical heuristic,4,fractional_simplex,simplex_weights,1,-0.210504,-0.210504,0.000000,0.266671,0.118497,1.000000,0.000021,[0.083333 0.083333 0.083333 0.083333 0.083333 0.083333 0.083333 0.083333 0.083333 0.083333 0.083333 0.083333],Uniform long-only allocation baseline,
Larger real data n=12,12,,Classical exact Markowitz,classical,4,fractional_simplex,simplex_weights,1,-0.375066,-0.375066,0.000000,0.580921,0.226857,1.000000,0.216121,[0.064290 0.000000 0.364721 0.000000 0.000000 0.139001 0.331568 0.000000 0.000000 0.100421 0.000000 0.000000],Exact long-only simplex baseline from active-set enumeration,
Larger real data n=12,12,5,Binary VQE best feasible,quantum,4,binary_qubo,equal_weight_selected,1,0.173363,0.173363,0.000000,0.257295,0.120824,0.777344,1.863333,001000011110,Falls back to Top-K projection if no feasible sample is observed,"NVDA, XOM, JNJ, PG, HD"
Larger real data n=12,12,5,QAOA X best feasible,quantum,4,binary_qubo,equal_weight_selected,1,0.136706,0.136706,0.000000,0.248903,0.117525,0.343750,4.292323,100001100101,Falls back to Top-K projection if no feasible sample is observed,"AAPL, META, JPM, PG, UNH"
Larger real data n=12,12,5,QAOA XY best feasible,quantum,4,binary_qubo,equal_weight_selected,1,1.230733,1.230733,0.000000,0.346208,0.172098,1.000000,4.726610,011010100001,Falls back to Top-K projection if no feasible sample is observed,"MSFT, NVDA, GOOGL, JPM, UNH"
Larger real data n=12,12,,Fractional VQE,quantum,4,fractional_simplex,simplex_weights,1,-0.360419,-0.360419,0.000000,0.549606,0.217478,1.000000,0.846419,[0.044328 0.015962 0.346892 0.007161 0.059064 0.109860 0.282117 0.007338 0.000011 0.094072 0.016843 0.016351],Simplex-normalized allocation,
